Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","8","Tadaany (IRE)","7","Sullivan, James P","0","Carr, Mrs R A","1","53","117","4.00","5310422","7","CkPc","Acclamation","Park Haven (IRE)","Gelding","D",
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","9","Cupids Arrow (IRE)","5","Gormley, Jamie","3","Carr, Mrs R A","3","50","114","3.33","1604572","7",,"Majestic Missile (IRE)","Kiss And DonTell (USA)","Gelding","D",
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","10","Meshardal (GER)","9","Mullen, Andrew","0","Carr, Mrs R A","5","50","114","7.50","'0806865","3","CkPc","Shamardal (USA)","Melody Fair (IRE)","Gelding","D",
"2019-06-20","17:20:00","Chelmsford City","Betsi Handicap","1m6f ","14","Class 4","Standard","8992","5","Left Handed","1","Lord Lamington","3","Hart, Jason","0","Johnston, M","3","83","133","2.00","6412151","21",,"Australia","Lady Eclair (IRE)","Gelding","C",
"2019-06-20","17:20:00","Chelmsford City","Betsi Handicap","1m6f ","14","Class 4","Standard","8992","5","Left Handed","2","Withoutdestination","3","Kelly, Shane","0","Botti, M","4","76","126","6.50","56214","49","Blnk","Epaulette (AUS)","Where I Be","Gelding",,
"2019-06-20","17:20:00","Chelmsford City","Betsi Handicap","1m6f ","14","Class 4","Standard","8992","5","Left Handed","3","Message","3","Breslin, Andrew","5","Johnston, M","1","68","118","2.75","74522","13",,"Dansili","Melikah (IRE)","Colt",,
"2019-06-20","17:20:00","Chelmsford City","Betsi Handicap","1m6f ","14","Class 4","Standard","8992","5","Left Handed","4","Mr Zoom Zoom","3","ONeill, K T","0","McJannet, Luke","2","67","117","3.33","7635255","12",,"Toronado (IRE)","Gay Mirage (GER)","Gelding",,
"2019-06-20","17:20:00","Chelmsford City","Betsi Handicap","1m6f ","14","Class 4","Standard","8992","5","Left Handed","5","Manton Warrior (IRE)","3","Turner, Hayley","0","Fellowes, Charlie","5","64","114","4.50","708687","20",,"War Command (USA)","Kotdiji","Gelding",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","1","Constantinople (IRE)","3","Moore, Ryan","0","OBrien, A P","18","105","133","5.50","53121","27",,"Galileo (IRE)","One Moment In Time (IRE)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","2","Antilles (USA)","3","OBrien, Donnacha","0","OBrien, A P","13","100","128","40.00","'0551204","27",,"War Front (USA)","Wonder Of Wonders (USA)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","3","Persian Moon (IRE)","3","Norton, Francis","0","Johnston, M","20","100","128","33.00","1341334","27",,"Makfi","Lune Rose","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","4","Leroy Leroy","3","Marquand, Tom","0","Hannon (Jnr), Richard","4","98","126","66.00","2221452","24",,"Compton Place","Small Fortune","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","5","Kuwait Currency (USA)","3","Dobbs, Pat","0","Hannon (Jnr), Richard","9","98","126","125.00","'0115076","55"," TT","Kittens Joy (USA)","Thebignbadestbunny (USA)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","6","Sinjaari (IRE)","3","Doyle, James","0","Haggas, W J","22","97","125","4.50","5212","33",,"Camelot","Heavenly Song (IRE)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","7","Fox Premier (IRE)","3","Sousa, Silvestre De","0","Balding, A M","2","96","124","12.00","652611","21",,"Frankel","Fann (USA)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","8","Good Birthday (IRE)","3","Murphy, Oisin","0","Balding, A M","7","96","124","11.00","72113","33",,"Dabirsim (FR)","Chica Loca (FR)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","9","Almania (IRE)","3","McDonald, James","0","Stoute, Sir Michael","21","95","123","14.00","418","35",,"Australia","Sent From Heaven (IRE)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","10","Summer Moon","3","McDonald, P J","0","Johnston, M","3","95","123","16.00","2336113","19",,"Sea The Moon (GER)","Songerie","Colt","D",
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","11","Questionare","3","Dettori, L","0","Gosden, J H M","5","94","122","7.50","122","24","CkPc TT","Galileo (IRE)","Dream Peace (IRE)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","12","Sir Ron Priestley","3","Atzeni, Andrea","0","Johnston, M","10","94","122","4.50","2411","26",,"Australia","Reckoning (IRE)","Colt","D",
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","13","Kaloor","3",,"5","Meehan, B J","12","94","122","0.00","1376","27",,"Nathaniel (IRE)","Blinking","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","14","South Pacific","3","Heffernan, J A","0","OBrien, A P","8","93","121","25.00","4222B12","40",,"Galileo (IRE)","Tonnara (IRE)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","15","Severance","3","Whelan, R P","0","Channon, M R","15","92","120","28.00","317","40","Hood","Nathaniel (IRE)","Decorative (IRE)","Colt","D",
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","16","Great Example","3",,"0","Suroor, Saeed Bin","16","91","119","0.00","631","32",,"Cape Cross (IRE)","Gower Song","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","17","Babbos Boy (IRE)","3","Watson, Jason","0","Bell, M L W","1","91","119","18.00","74211","31",,"Mastercraftsman (IRE)","Bunood (IRE)","Colt","D",
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","18","Eminence (IRE)","3","Lordan, W M","0","OBrien, A P","19","91","119","33.00","48613","40",,"Sea The Stars (IRE)","Coolree Marj (IRE)","Colt",,
"2019-06-20","17:35:00","Ascot","King George V Stakes (Handicap)","1m4f ","12","Class 2","Soft","56025","17","Right Handed","19","Majestic Dawn (IRE)","3","Probert, David","0","Cole, P F I","14","90","118","16.00","2217","33",,"Dawn Approach (IRE)","Jolie Chanson (FR)","Colt",,
"2019-06-20","17:40:00","Leopardstown","Foran Equine Irish EBF Auction Race (Plus 10)","7f ","7",,"Good","16327","7","Left Handed","1","Rebel Tale (USA)","2","Coen, Ben M","5","Slattery, Andrew","1","0","132","2.50","41","33",,"Tale Of The Cat (USA)","Purr And Prowl (USA)","Colt",,
"2019-06-20","17:40:00","Leopardstown","Foran Equine Irish EBF Auction Race (Plus 10)","7f ","7",,"Good","16327","7","Left Handed","2","Galactic Grey (IRE)","2","McCullagh, N G","0","Condon, K J","7","0","131","6.00","'04","13",,"Dark Angel (IRE)","Devious Diva (IRE)","Colt",,
"2019-06-20","17:40:00","Leopardstown","Foran Equine Irish EBF Auction Race (Plus 10)","7f ","7",,"Good","16327","7","Left Handed","3","Real Force","2","Leonard, Killian","3","OLeary, Gerard","4","0","130","3.00","14","32",,"Lethal Force (IRE)","Real Me","Colt",,
"2019-06-20","17:40:00","Leopardstown","Foran Equine Irish EBF Auction Race (Plus 10)","7f ","7",,"Good","16327","7","Left Handed","4","Law Breaker (IRE)","2","McDonogh, D P","0","OGrady, E J","5","0","128","2.75","1","21",,"Lawman (FR)","Chervil","Colt",,
"2019-06-20","17:40:00","Leopardstown","Foran Equine Irish EBF Auction Race (Plus 10)","7f ","7",,"Good","16327","7","Left Handed","5","One Last Look (IRE)","2","Keane, C T","0","Lyons, G M","6","0","128","8.00","none",,,"Fastnet Rock (AUS)","Celestial Bow (IRE)","Filly",,
"2019-06-20","17:40:00","Leopardstown","Foran Equine Irish EBF Auction Race (Plus 10)","7f ","7",,"Good","16327","7","Left Handed","6","One Voice (IRE)","2","Foley, Shane","0","Harrington, Mrs John","2","0","126","12.00","none",,,"Poets Voice","Zaaqya","Filly",,
"2019-06-20","17:40:00","Leopardstown","Foran Equine Irish EBF Auction Race (Plus 10)","7f ","7",,"Good","16327","7","Left Handed","7","Sondheim (IRE)","2","Hayes, C D","0","Farrell, W T","3","0","123","33.00","none",,,"Born To Sea (IRE)","Sedna (IRE)","Colt",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","1","Kensington Art","3","Hamilton, Tony","0","Fahey, R A","3","62","136","4.00","4083454","14","CkPc","Dutch Art","Lady Luachmhar (IRE)","Gelding",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","2","Gold Arch","3","Mulrennan, Paul","0","Lanigan, D R","6","61","135","2.50","'07014","17","Blnk","Archipenko (USA)","Goldrenched (IRE)","Gelding","D",
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","3","Picture Poet (IRE)","3","Curtis, B A","0","Spiller, Henry","5","59","133","7.00","5542542","20",,"Camacho","Cockney Rhyme","Gelding",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","4","Stone Cougar (USA)","3","Beasley, Connor","0","Johnston, M","7","57","131","2.75","54833","2",,"Kittens Joy (USA)","Fitful Skies (IRE)","Filly",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","5","Fame N Fortune","3","Stott, Kevin","0","Tuite, Joseph","9","56","130","7.00","4865","12",,"Thewayyouare (USA)","Acapella Star (IRE)","Gelding",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","6","Lady Shanawell (IRE)","3","Mullen, Andrew","0","Haslam, B M R","10","51","125","22.00","'09975","19",,"Lord Shanakill (USA)","Lukes Well (IRE)","Filly",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","7","Tunky","3","Sullivan, James P","0","Given, J G","8","50","124","22.00","8084957","7","Blnk","Gregorian (USA)","Alushta","Filly",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","8","Preservation","3","Scott, Rowan","3","OKeeffe, Jedd","2","46","120","16.00","'00058","22",,"Kyllachy","Protectress","Filly",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","9","Amber Rock (USA)","3","McHugh, B","0","Eyre, J L","4","45","119","20.00","600","82",,"Australia","Amber Isle (USA)","Gelding",,
"2019-06-20","17:45:00","Ripon","Inn At South Stainley Handicap (Div 1)","1m4f ","12","Class 6","Good To Soft","3429","10","Right Handed","10","Yasmin From York","3","Hardie, Cameron","0","Rothwell, B S","1","45","119","66.00","'0089","23",,"Sixties Icon","Bonnie Burnett (IRE)","Filly",,
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","1","Napping","6","Malune, Gabriele","3","Murphy, Amy","3","59","134","5.50","6143951","8",,"Sleeping Indian","Vax Rapide","Mare","D",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","2","Papa Delta","5","Downing, George","0","Carroll, A W","11","58","133","6.00","1013182","19",,"Makfi","Step Softly","Gelding","CD",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","3","Tavener","7","Dennis, Mr P","0","Griffiths, D C","1","58","133","14.00","1337679","17","CkPc","Exceed And Excel (AUS)","Sea Chorus","Gelding","CD",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","4","Kingsley Klarion (IRE)","6","Clark, Tim","3","Butler, John","10","57","132","4.50","'0078490","70",,"Arcano (IRE)","May Day Queen (IRE)","Gelding","CD",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","5","Daring Guest (IRE)","5","Morris, Luke","0","Clover, Tom","4","57","132","4.00","3383222","24","Vsor TT","Fast Company (IRE)","Balm","Gelding","CD",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","6","Red Tycoon (IRE)","7","Kirby, Adam","0","Cunningham-Brown, K O","2","57","132","4.00","'0953005","13",,"Acclamation","Rugged Up (IRE)","Gelding","CD",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","7","Billyoakes (IRE)","7","Mitchell, Jack","0","Wallis, Charlie","8","57","132","9.00","5580431","24","CkPc","Kodiac","Reality Check (IRE)","Gelding","CD",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","8","Maazel (IRE)","5","Winston, Robert","0","Carter, Lee","6","56","131","7.50","2125524","23",,"Elzaam (AUS)","Laylati (IRE)","Gelding","C",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","9","Cuban Spirit","4","Shepherd, Callum","0","Carter, Lee","7","56","131","28.00","'0698170","99",,"Harbour Watch (IRE)","Madam Mojito (USA)","Gelding","D",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","10","Mercers","5","Haynes, Joey","0","Butler, P","5","56","131","50.00","'0713F87","61","Blnk","Piccolo","Ivorys Joy","Mare","C",
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","11","Jeopardy John","4",,"5","Attwater, M J","9","55","130","0.00","6458300","195",,"Delegator","Daysiwaay (IRE)","Gelding",,
"2019-06-20","17:50:00","Lingfield","Visit attheraces.com Handicap","6f ","6","Class 6","Standard","3105","10","Left Handed","12","Alaskan Bay (IRE)","4",,"0","Guest, Rae","12","52","127","0.00","4412688","28",,"Kodiac","Party Appeal (USA)","Filly",,
"2019-06-20","18:00:00","Ffos Las","Velindre Cancer Charity Novices Handicap Chase","2m ","16","Class 4","Good To Soft","4614","5","Left Handed","1","Free Stone Hill (IRE)","9","OBrien, T J","0","Bradley, J M","0","117","163","5.00","'F303222","360"," TT","Beneficial","Claramanda (IRE)","Gelding",,
"2019-06-20","18:00:00","Ffos Las","Velindre Cancer Charity Novices Handicap Chase","2m ","16","Class 4","Good To Soft","4614","5","Left Handed","2","Topofthecotswolds (IRE)","5","Twiston-Davies, Mr S","0","Twiston-Davies, N A","0","114","160","2.25","2522622","44",,"Arcadio (GER)","Bambootcha (IRE)","Gelding",,
"2019-06-20","18:00:00","Ffos Las","Velindre Cancer Charity Novices Handicap Chase","2m ","16","Class 4","Good To Soft","4614","5","Left Handed","3","Mon Eldorado (FR)","7","Bowen, Mr J C","0","Bowen, P","0","110","156","10.00","3639F89","78",,"Gentlewave (IRE)","Miryea (FR)","Gelding",,
"2019-06-20","18:00:00","Ffos Las","Velindre Cancer Charity Novices Handicap Chase","2m ","16","Class 4","Good To Soft","4614","5","Left Handed","4","Grania Omalley (IRE)","6","Wedge, Mr A","0","Williams, Evan","0","110","156","2.50","1329462","13","CkPc","Beat Hollow","Oh Susannah (FR)","Mare","D",
"2019-06-20","18:00:00","Ffos Las","Velindre Cancer Charity Novices Handicap Chase","2m ","16","Class 4","Good To Soft","4614","5","Left Handed","5","Finleys Eyes (IRE)","6","Skelton, Harry","0","Skelton, Daniel","0","108","154","2.75","54228","223","Hood","Beneficial","Badia Dream (IRE)","Gelding",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","1","Chico One (IRE)","4","Cleary, R P","0","Comer, Luke","5","0","140","66.00","none",,,"Casamento (IRE)","Central Force","Colt",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","2","Balletto (IRE)","4","Carroll, G F","0","Mullins, Emmet","9","0","135","66.00","900","314",,"Kodiac","La Scala (USA)","Filly",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","3","Myth Creation (USA)","4","Crosse, S M","5","OBrien, Joseph Patrick","10","0","135","16.00","4","37"," TT","More Than Ready (USA)","Mabadi (USA)","Filly",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","4","Candy Man (IRE)","3","Gallagher, Mark","0","Harty, Edward P","8","0","131","8.50","'004","34",,"Zoffany (IRE)","Sweet Dreams Baby (IRE)","Gelding",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","5","Clockers Corner (IRE)","3","ODonoghue, C","0","Oxx, John M","11","0","131","6.50","'04","19",,"No Nay Never (USA)","Starlight Night (USA)","Gelding",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","6","Enda The Dragon (IRE)","3","Colgan, R C","0","Mullholland, Anthony","12","0","131","80.00","none",,,"Olympic Glory (IRE)","Can Dance","Colt",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","7","Memsie (IRE)","3","Keane, C T","0","Browne, W P","6","0","131","4.00","'06","29",,"Exceed And Excel (AUS)","Gift Of Spring (USA)","Colt",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","8","Rule The Sea","3","Coakley, Mr R ","0","Collins, Tracey","2","0","131","66.00","'080","54",,"Born To Sea (IRE)","Heavens Peak","Gelding",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","9","Split Down South","3","Foley, Shane","0","Condon, K J","3","0","131","3.50","85","19",,"Dark Angel (IRE)","Brown Eyed Honey","Colt",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","10","The Mpex Kid (IRE)","3","McDonogh, D P","0","Love, Mrs D A","1","0","131","3.33","83","29",,"Tamayuz","Startarette (USA)","Gelding",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","11","Zaamar (IRE)","3","McCullagh, N G","0","Halford, M","4","0","131","5.50","none",,,"Tamayuz","Tawteen (USA)","Colt",,
"2019-06-20","18:15:00","Leopardstown","Get Your Free Trial Now At racingtv.com Maiden","7f ","7",,"Good","7632","12","Left Handed","12","Tracing (IRE)","3","Beggy, P B","0","OBrien, A P","7","66","126","9.00","6770","19"," TT","Galileo (IRE)","Ishvana (IRE)","Filly",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","1","Rich Cummins","3","Beasley, Connor","0","Johnston, M","7","61","136","2.50","9022272","23","Blnk","Dalakhani (IRE)","Claxon","Gelding",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","2","Play It By Ear (IRE)","3","Tudhope, Daniel","0","OMeara, D","9","61","136","2.75","68507","23"," TT","Dragon Pulse (IRE)","Seriously (FR)","Gelding",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","3","Theatro (IRE)","3","Lee, G","0","OKeeffe, Jedd","3","58","133","2.50","'034","32",,"Camelot","Bogside Theatre (IRE)","Filly",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","4","Ritchie Star (IRE)","3","Mullen, Andrew","0","Haslam, B M R","2","57","132","5.50","74972","21",,"Lilbourne Lad (IRE)","Array Of Stars (IRE)","Gelding",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","5","Magrevio (IRE)","3",,"0","Bailey, Liam","6","55","130","0.00","58780","22",,"Helmet (AUS)","Queen Althea (IRE)","Gelding",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","6","Langholm (IRE)","3","MacRedmond, Cian","7","Carroll, D","4","50","125","8.00","'07008","31"," TT","Dark Angel (IRE)","Pindrop","Gelding",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","7","Amourie","3","Lee, Clifford","0","Craggs, R","8","48","123","66.00","96909","21",,"Haafhd","Tour DAmour (IRE)","Filly",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","8","Golden Grenade (FR)","3","Walsh, R P","7","Williams, Ian","5","46","121","25.00","6407","43",,"Zanzibari (USA)","Kings Parody (IRE)","Gelding",,
"2019-06-20","18:20:00","Ripon","Inn At South Stainley Handicap (Div 2)","1m4f ","12","Class 6","Good To Soft","3429","8","Right Handed","9","Geyser","3","Murtagh, Connor","5","Murtagh, Barry","1","45","120","20.00","9885065","23",,"Gale Force Ten","Popocatepetl (FR)","Gelding",,
"2019-06-20","18:25:00","Lingfield","Komfort Partitioning And Knauf AMF Selling Stakes","5f ","5","Class 6","Standard","3105","7","Left Handed","1","Deer Song","6","Fallon, Cieren","7","Bridger, J J","2","45","132","66.00","'0997504","9","Blnk","Piccolo","Turkish Delight","Gelding","D",
"2019-06-20","18:25:00","Lingfield","Komfort Partitioning And Knauf AMF Selling Stakes","5f ","5","Class 6","Standard","3105","7","Left Handed","2","Sir Hector (IRE)","4","Mitchell, Jack","0","Wallis, Charlie","6","64","132","6.00","2444670","52","Hood","Sir Prancealot (IRE)","Awwal Malika (USA)","Gelding","CD",
"2019-06-20","18:25:00","Lingfield","Komfort Partitioning And Knauf AMF Selling Stakes","5f ","5","Class 6","Standard","3105","7","Left Handed","3","Green Door (IRE)","8","Morris, Luke","0","Cowell, R M H","3","82","128","0.33","7476822","16","Vsor","Camacho","Inourhearts (IRE)","Gelding","CD",
"2019-06-20","18:25:00","Lingfield","Komfort Partitioning And Knauf AMF Selling Stakes","5f ","5","Class 6","Standard","3105","7","Left Handed","4","Avon Green","4","Bishop, Mr C","0","Tuite, Joseph","4","53","127","20.00","4754909","53",,"Avonbridge","Greenery (IRE)","Filly","D",
"2019-06-20","18:25:00","Lingfield","Komfort Partitioning And Knauf AMF Selling Stakes","5f ","5","Class 6","Standard","3105","7","Left Handed","5","Sylvias Mother","3","Keniry, L P","0","Tuite, Joseph","7","64","125","8.00","2215899","14","Blnk","Foxwedge (AUS)","Majestic Song","Filly","D",
"2019-06-20","18:25:00","Lingfield","Komfort Partitioning And Knauf AMF Selling Stakes","5f ","5","Class 6","Standard","3105","7","Left Handed","6","Raise A Little Joy","4","Brock, Danny","0","Jenkins, J R","5","42","123","66.00","'0834050","15","CkPc","Pastoral Pursuits","Ray Of Joy","Filly",,
"2019-06-20","18:25:00","Lingfield","Komfort Partitioning And Knauf AMF Selling Stakes","5f ","5","Class 6","Standard","3105","7","Left Handed","7","Staffa (IRE)","6","Pitt, Michael","7","Coakley, D J","1","56","123","20.00","3335737","180",,"Rock Of Gibraltar (IRE)","Gabriellina Klon (IRE)","Mare","CD",
"2019-06-20","18:35:00","Ffos Las","Velindre Cancer Charity Mares Handicap Chase","3m ","24","Class 4","Good To Soft","4614","5","Left Handed","1","Dawnieriver (IRE)","9","Scudamore, Tom","0","Scudamore, M J","0","104","166","5.00","4362113","198","CkPc","Indian River (FR)","In Sin (IRE)","Mare","D",
"2019-06-20","18:35:00","Ffos Las","Velindre Cancer Charity Mares Handicap Chase","3m ","24","Class 4","Good To Soft","4614","5","Left Handed","2","Silent Steps (IRE)","8","Frost, Miss B","0","King, N B","0","100","162","2.50","3P64443","32","CkPc","Milan","Taking Silk (IRE)","Mare","D",
"2019-06-20","18:35:00","Ffos Las","Velindre Cancer Charity Mares Handicap Chase","3m ","24","Class 4","Good To Soft","4614","5","Left Handed","3","Mrsrobin (IRE)","9","Quinlan, S M","7","Williams, D L","0","95","157","18.00","1PP7P43","22",,"Robin Des Pres (FR)","Regents Dancer (IRE)","Mare","D",
"2019-06-20","18:35:00","Ffos Las","Velindre Cancer Charity Mares Handicap Chase","3m ","24","Class 4","Good To Soft","4614","5","Left Handed","4","Midnight Folie","9","Jones, Mr B R","7","Vaughan, Tim","0","85","147","1.00","674P2F4","888",,"Midnight Legend","Lady Racquet (IRE)","Mare",,
"2019-06-20","18:35:00","Ffos Las","Velindre Cancer Charity Mares Handicap Chase","3m ","24","Class 4","Good To Soft","4614","5","Left Handed","5","Gowell (IRE)","8","Brennan, P J","0","Faulkner, Ms D C","0","78","140","9.00","9384P8P","55",,"Gold Well","Glen Supreme (IRE)","Mare",,
"2019-06-20","18:50:00","Leopardstown","Blizzards Handicap (45-70)","7f ","7",,"Good","5996","13","Left Handed","1","Little Clarinet (IRE)","5","Crosse, S M","5","OBrien, Joseph Patrick","7","68","139","2.25","5052441","13","CkPc","Requinto (IRE)","Filandre","Mare","C",
"2019-06-20","18:50:00","Leopardstown","Blizzards Handicap (45-70)","7f ","7",,"Good","5996","13","Left Handed","2","Arbourfield (IRE)","7","Foley, Shane","0","Dobbs, Mrs Prunella","3","66","137","16.00","8742000","27","Vsor","Moss Vale (IRE)","Shoooz (IRE)","Gelding","D",
